epoch,capsnet_binary_accuracy,capsnet_fbeta_score,capsnet_loss,capsnet_precision,capsnet_recall,decoder_binary_accuracy,decoder_fbeta_score,decoder_loss,decoder_precision,decoder_recall,loss,val_capsnet_binary_accuracy,val_capsnet_fbeta_score,val_capsnet_loss,val_capsnet_precision,val_capsnet_recall,val_decoder_binary_accuracy,val_decoder_fbeta_score,val_decoder_loss,val_decoder_precision,val_decoder_recall,val_loss
0,0.5758147321,0.3792350322,0.6901096179,0.4934636126,0.2591311921,0.0173819406,0.9715220758,0.693157311,0.9667303369,0.9915030845,1.3832669293,0.6001785714,0.5231256321,0.6679280068,0.6245713578,0.3468264713,0.0164020647,0.9653517638,0.6931430793,0.9591393445,0.9914397187,1.361071087
1,0.60234375,0.5392347566,0.6683946115,0.6013095137,0.4277395425,0.017209647,0.9711848351,0.6931384424,0.9665413958,0.9905472273,1.3615330546,0.6023214286,0.5211550929,0.6630945984,0.6344391949,0.3321683579,0.0178306362,0.9652242005,0.6931241359,0.9591408798,0.9907621191,1.3562187369
2,0.6077120536,0.5506250451,0.6643018668,0.6021545008,0.4493390042,0.0182929339,0.9712360599,0.6931223041,0.966619684,0.9904655133,1.3574241703,0.6078571429,0.5373162717,0.6599591563,0.6305740686,0.3650544037,0.0185658482,0.9651442036,0.6931065091,0.9594158357,0.9891714605,1.3530656672
3,0.608515625,0.5533487427,0.6627090156,0.6014107552,0.4573045804,0.0188874163,0.9711502013,0.6931073953,0.9668960993,0.9888872922,1.355816411,0.6184821429,0.5684140084,0.6570801279,0.617394966,0.4616279766,0.0188992746,0.965225116,0.6930907798,0.9593369739,0.9899326505,1.3501709076
4,0.6105133929,0.5585282862,0.6619549086,0.6031027647,0.4666727006,0.0190952846,0.9713612807,0.6930948028,0.967165207,0.9888230462,1.3550497114,0.6082142857,0.5360415837,0.6589123435,0.6369084955,0.3564060503,0.0192522321,0.9649958534,0.6930776053,0.9594505097,0.9882435765,1.3519899464
5,0.6111049107,0.5592149998,0.6609195369,0.6022689779,0.4713428681,0.0195778111,0.9710703028,0.693082662,0.9670304159,0.9878906374,1.3540021985,0.6200892857,0.5677337058,0.6559482735,0.6237367885,0.4470510539,0.0189090402,0.965066843,0.6930670241,0.9595427035,0.9882281268,1.3490152955
6,0.6118973214,0.5617322192,0.6599511596,0.6020159375,0.4762518434,0.0197858538,0.97113774,0.6930721241,0.9668583152,0.9889612782,1.3530232831,0.6220535714,0.5761084723,0.65567954,0.6137983135,0.4915759329,0.0196065848,0.965496778,0.693055281,0.9595164306,0.9905934235,1.3487348233
7,0.6148772321,0.5647736093,0.6587705943,0.6040131324,0.4810965797,0.0202094378,0.9716602003,0.6930618906,0.9670621344,0.9908104239,1.351832486,0.6190178571,0.5640063307,0.6551002676,0.6264988695,0.4312130506,0.0202566964,0.9656825285,0.6930435021,0.9594728114,0.9917597497,1.3481437693
8,0.6144866071,0.5647041997,0.6592954256,0.6034562958,0.4811278726,0.0204225377,0.9717656483,0.6930527877,0.9669852187,0.9917050311,1.3523482132,0.6208035714,0.5719605477,0.6542359061,0.6209972551,0.4629330194,0.0210365513,0.9656569816,0.6930350179,0.9594652011,0.9916560653,1.3472709237
9,0.6150334821,0.5662143931,0.6585881304,0.6044013564,0.4831428053,0.0208482143,0.9720832006,0.6930447945,0.9672179537,0.9923641636,1.3516329266,0.6227678571,0.576746479,0.6539186421,0.6166060566,0.4883319126,0.0214578683,0.9658880833,0.6930267297,0.9594311505,0.9930232966,1.3469453733
10,0.6153459821,0.5657373727,0.657989501,0.6026548185,0.4840274082,0.0210313198,0.971783132,0.6930382044,0.9666276067,0.9933035693,1.3510277047,0.6186607143,0.5596324362,0.6550096319,0.636310265,0.4055970725,0.0222921317,0.9659300196,0.6930195756,0.9594734769,0.9930616134,1.3480292082
11,0.615625,0.5673893831,0.6581966331,0.6048445246,0.4851007374,0.0211251395,0.9720749748,0.6930319224,0.9667870317,0.9941409812,1.3512285569,0.6183928571,0.5625120934,0.654006716,0.6281487175,0.4258920732,0.0221707589,0.9660318072,0.6930136268,0.9594673978,0.9936234966,1.3470203413
12,0.6167857143,0.5687148751,0.6577280569,0.6063288942,0.4866817805,0.0214901297,0.972172127,0.6930264342,0.9669164691,0.9940889786,1.3507544921,0.6216964286,0.5709786533,0.6534766788,0.6277011839,0.4491567526,0.0223632813,0.9660182357,0.6930083632,0.9594417812,0.9936637553,1.3464850426
13,0.6155691964,0.5669862596,0.6578721742,0.6036282994,0.4852845614,0.0216003418,0.9721375357,0.6930218499,0.9667878232,0.9944588583,1.3508940252,0.6175892857,0.555193677,0.6557565655,0.6471007961,0.3818566174,0.0230287388,0.9662067262,0.6930024905,0.9594400791,0.9946673007,1.3487590541
14,0.6160825893,0.56779103,0.656636801,0.6056179665,0.4854416268,0.0219304548,0.9722371336,0.6930166933,0.9666392028,0.9956284269,1.3496534944,0.6219642857,0.5727078312,0.6529427842,0.6253200151,0.4580057097,0.0222516741,0.9664500972,0.6929971395,0.9593843433,0.9961998406,1.3459399247
15,0.6166852679,0.5692440124,0.6564575649,0.6059141374,0.4848656416,0.0219321987,0.9725399895,0.6930127422,0.9668634952,0.9962388092,1.3494703059,0.6229464286,0.5743146912,0.6527860647,0.6253869681,0.4621744092,0.0229087612,0.966521359,0.6929924398,0.9593855933,0.9965729218,1.3457785027
16,0.6179129464,0.5710363887,0.6566438014,0.6075242505,0.4892737625,0.0220392718,0.9725867802,0.6930091974,0.9668868095,0.996383066,1.3496529993,0.61875,0.5604942875,0.6541440252,0.639071218,0.4042046348,0.0234333147,0.9666451129,0.692988972,0.9594224725,0.9970714288,1.3471329955
17,0.6187165179,0.5725177876,0.656182669,0.6088398008,0.4913023395,0.0222438267,0.9728325558,0.693005865,0.9671412216,0.9965952638,1.3491885355,0.6228571429,0.5741376383,0.6526756799,0.6246632154,0.4630239294,0.0225167411,0.9666062122,0.692986794,0.9594202352,0.9968766715,1.3456624753
18,0.6185602679,0.5708953117,0.6565121366,0.6073653003,0.4895949723,0.0222521973,0.9725900414,0.6930034113,0.9668838104,0.9964303029,1.3495155483,0.6225,0.5705339127,0.6527074163,0.6315155782,0.440859914,0.0237695313,0.9665889171,0.6929826403,0.9594175206,0.9967928304,1.3456900549
19,0.6185044643,0.570672852,0.6561067066,0.6060979802,0.4901266841,0.0224698312,0.972695397,0.6930005677,0.9669122003,0.9968606166,1.3491072739,0.6216964286,0.5666606352,0.6530412974,0.6349740566,0.4251009309,0.0235909598,0.9666384528,0.6929801539,0.9594195167,0.9970475752,1.3460214506
