epoch,acc,fbeta_score,loss,precision,recall,val_acc,val_fbeta_score,val_loss,val_precision,val_recall
0,0.6433705357,0.606827141,0.644004979,0.6296350707,0.568511455,0.6750892857,0.6417777568,0.6117657816,0.6260079176,0.7378581279
1,0.6759598214,0.6441278785,0.6159628053,0.6647343584,0.6082652122,0.691875,0.6623803228,0.5952583789,0.6655518265,0.6749131134
2,0.6818526786,0.6511089651,0.6098953197,0.6703847418,0.6165134504,0.6945535714,0.6629181119,0.59410755,0.657492414,0.7096231996
3,0.6858035714,0.6564224436,0.6061968212,0.6746499242,0.6245757858,0.695,0.6660019566,0.5909016198,0.672393455,0.6646228709
4,0.6898549107,0.6601768706,0.6013707069,0.6768638748,0.6320583098,0.69875,0.6738470113,0.5892657177,0.6999090261,0.6102929111
5,0.6922209821,0.6632680464,0.5980793631,0.6793944952,0.6358640046,0.6996428571,0.6723688069,0.5889285081,0.6850050129,0.6498667787
6,0.6949888393,0.6660706334,0.5969122961,0.6819024986,0.6390870021,0.7001785714,0.671727505,0.5868884751,0.6818388769,0.658200434
7,0.6950223214,0.6664602499,0.5954480429,0.6829884909,0.6373863858,0.7000892857,0.670837555,0.5867267475,0.6825731966,0.6517059623
8,0.6968303571,0.6684101428,0.5946692328,0.6849095886,0.6392685586,0.7045535714,0.6771999932,0.585861764,0.6858409586,0.6694560301
9,0.6982254464,0.6698569038,0.592244897,0.6856790254,0.6414952115,0.7028571429,0.6737729474,0.5874182601,0.682295861,0.6655389947
10,0.6997433036,0.6713167114,0.5896426111,0.6863063719,0.6466843469,0.6957142857,0.6634636697,0.5857509109,0.6545690194,0.7253536847
11,0.7018638393,0.6740568228,0.5882245679,0.6880789199,0.6518941659,0.7025,0.6712242673,0.5906474084,0.6678851537,0.7083117699
12,0.7020200893,0.6741936766,0.5877912395,0.6884021113,0.6511598381,0.7040178571,0.6772869911,0.5815721386,0.6924503132,0.6463362403
13,0.7030691964,0.6747234924,0.5853738394,0.6897755574,0.6499794544,0.7045535714,0.6812548486,0.5822989676,0.7109024567,0.6088890095
14,0.7037946429,0.6758338093,0.5852408169,0.6912716901,0.6496556995,0.7091964286,0.6866951036,0.5818049651,0.7162198149,0.6137113285
15,0.7034709821,0.6767402032,0.5851002679,0.6928432949,0.6482835422,0.7066964286,0.6781579984,0.580472147,0.6860266338,0.6715104289
16,0.7064397321,0.6793232491,0.5830834405,0.6946879706,0.652332694,0.7035714286,0.674013966,0.5844901007,0.6777562135,0.683859978
17,0.7063950893,0.6788849064,0.5825721574,0.6929895401,0.6550349756,0.7041964286,0.673136076,0.5805599592,0.6711237983,0.7055387334
18,0.70796875,0.6807134869,0.5809952305,0.6942501476,0.65794537,0.7099107143,0.6881338269,0.5794417344,0.7188703191,0.6119631298
19,0.7084821429,0.6812101476,0.577897298,0.6955909147,0.656644689,0.7108035714,0.6860205713,0.5767416284,0.7037970119,0.6468023708
