epoch,binary_accuracy,fbeta_score_1,fbeta_score_2,fbeta_score_3,loss,precision_1,precision_2,precision_3,recall_1,recall_2,recall_3,val_binary_accuracy,val_fbeta_score_1,val_fbeta_score_2,val_fbeta_score_3,val_loss,val_precision_1,val_precision_2,val_precision_3,val_recall_1,val_recall_2,val_recall_3
0,0.5291176471,0.4948684085,0.4734873144,0.4293279282,0.7860639564,0.4770355913,0.4906423529,0.5074351194,0.6240776376,0.4579474817,0.30534815,0.560909091,0.5840411178,0.3973683961,0,0.6622885489,0.5510671993,0.557090914,0,0.8045604597,0.2082604222,0
1,0.5591176471,0.5262217562,0.4977622193,0.4389819417,0.7122719232,0.5052910017,0.5235498664,0.5552654221,0.6610600428,0.4474099576,0.2655760634,0.6236363634,0.611125521,0.5624346421,0.1295643256,0.6453593395,0.6013877791,0.6529943666,0.4072726926,0.6869489117,0.380995596,0.0369938008
2,0.5882352941,0.5526220309,0.5403339899,0.4611366558,0.6884518703,0.5267964062,0.5577130825,0.5789883842,0.7261991952,0.5182860456,0.2898107196,0.6336363634,0.6297961918,0.5835532951,0.2490095794,0.6355488645,0.623007992,0.652951661,0.5308744452,0.6869811867,0.4306025643,0.0895825776
3,0.6105882353,0.5727684636,0.5668266104,0.4963725947,0.6636590144,0.5471778342,0.5840948974,0.6040591905,0.737354099,0.5411044401,0.3223898519,0.6499999999,0.6431130763,0.6100552297,0.4606089898,0.631596919,0.6452689752,0.6726128873,0.6750476222,0.6611636025,0.4655458634,0.2228111841
4,0.6235294118,0.5708756799,0.5840678148,0.5061266693,0.6629603737,0.5421245372,0.5947905857,0.6415891361,0.7558109373,0.5815788906,0.3109303993,0.6309090909,0.6355006285,0.5618793351,0.3379328629,0.6447034196,0.6502440288,0.6554949778,0.6736969545,0.6021461029,0.3792736354,0.1302810828
5,0.6361764706,0.5913460419,0.6023645219,0.5293285818,0.6420808557,0.565684132,0.6216840872,0.6706275786,0.7566254253,0.5720829783,0.3199714131,0.6763636366,0.6196758207,0.64334103,0.478556008,0.6277111606,0.6029419439,0.6770145512,0.6398961111,0.7267144413,0.5602550576,0.2599851919
6,0.64,0.5882683248,0.6023104722,0.5640312335,0.636434495,0.5578925837,0.614709073,0.6737144223,0.7850761977,0.589807812,0.3723302717,0.6636363639,0.6273880575,0.628712207,0.4102360982,0.628507328,0.6152214007,0.6825639863,0.6350476209,0.7107735948,0.5005488019,0.1884386918
7,0.6441176471,0.5909201121,0.6017604348,0.5334679264,0.6388929319,0.5644448322,0.622110494,0.6871935477,0.7614843949,0.5637710834,0.3161400353,0.6763636366,0.6157423754,0.6452073698,0.6043251352,0.6143034157,0.5882904105,0.6632563331,0.7138260607,0.7873941192,0.6081931747,0.4010576748
8,0.6423529412,0.5988272741,0.6060973636,0.556261388,0.6346050704,0.569961235,0.6150978767,0.6760325787,0.7887131761,0.6062545476,0.3600848272,0.6663636366,0.6545777952,0.6325311663,0.5142697934,0.6247146756,0.6649139647,0.6999317559,0.6883788607,0.645168009,0.483284825,0.2756088151
9,0.6585294118,0.5965161963,0.6187274397,0.5771112589,0.6291027651,0.5713034565,0.6366625374,0.6970924052,0.7645239334,0.5997196918,0.3779517821,0.6854545457,0.6251281147,0.658441047,0.5940724089,0.6082561942,0.5987732514,0.6770479722,0.6994682139,0.7863554974,0.6195663348,0.4005364192
10,0.6647058824,0.6102660887,0.6310433456,0.58647103,0.6163415677,0.5846500057,0.6440189841,0.6958706665,0.7761099609,0.6119595465,0.3936816204,0.6754545455,0.6148748196,0.6409533039,0.6603116079,0.6083095787,0.5809394906,0.6333904093,0.7005206585,0.838183921,0.7015222057,0.5652364101
11,0.6652941176,0.6046179318,0.6297607587,0.5728990813,0.6201219235,0.5776400349,0.6412247393,0.674313804,0.7809407411,0.6287425251,0.4003526451,0.6736363634,0.6403363252,0.6489446683,0.5548460351,0.6115122023,0.6249228764,0.6877390523,0.7400750438,0.7430146551,0.5593629814,0.3003518676
12,0.6738235294,0.616810721,0.6398559415,0.5650821569,0.6199422207,0.589750173,0.6590079602,0.7099026493,0.7994630631,0.6332062399,0.3587324006,0.6772727271,0.6429986119,0.652995641,0.5852010842,0.6087274248,0.6340589844,0.6913573343,0.7191940238,0.7091327669,0.560175316,0.357291924
